Data;7460 - �ndice de Pre�os por Atacado-Oferta Global (IPA-OG) - Produtos agr�colas - Var. % mensal;7461 - �ndice Nacional de Custo da Constru��o (INCC-DI) - M�o-de-obra - Var. % mensal;7462 - �ndice Nacional de Custo da Constru��o (INCC-DI) - Materiais e servi�os - Var. % mensal
11/2009;0,10 ;0,07 ;0,26 ;0,29 ;-0,04 ;0,07 ;0,08 ;0,14 ;0,18 ;-0,07
12/2009;-0,26 ;-0,11 ;0,24 ;0,10 ;-0,29 ;-0,07 ;-0,50 ;0,20 ;0,20 ;0,02
01/2010;0,63 ;1,01 ;1,29 ;0,64 ;0,96 ;0,20 ;0,51 ;1,00 ;0,52 ;1,37
02/2010;1,18 ;1,09 ;0,68 ;0,36 ;1,38 ;1,08 ;1,42 ;0,88 ;0,35 ;1,35
03/2010;0,94 ;0,63 ;0,86 ;0,75 ;0,52 ;1,10 ;1,07 ;0,83 ;0,45 ;-0,05
04/2010;0,77 ;0,72 ;0,76 ;0,84 ;0,68 ;0,63 ;0,72 ;0,73 ;1,17 ;0,42
05/2010;1,19 ;1,57 ;0,21 ;1,81 ;2,06 ;1,11 ;1,49 ;0,49 ;0,93 ;2,66
06/2010;0,85 ;0,34 ;-0,21 ;1,09 ;0,43 ;1,30 ;1,09 ;-0,18 ;1,77 ;0,42
07/2010;0,15 ;0,22 ;-0,21 ;0,44 ;0,34 ;0,05 ;0,20 ;-0,17 ;0,62 ;0,48
08/2010;0,77 ;1,10 ;-0,08 ;0,14 ;1,70 ;0,46 ;1,24 ;-0,27 ;0,22 ;1,40
09/2010;1,15 ;1,10 ;0,46 ;0,21 ;1,47 ;1,12 ;1,60 ;0,34 ;0,20 ;0,31
10/2010;1,01 ;1,03 ;0,59 ;0,20 ;1,32 ;1,15 ;1,30 ;0,56 ;0,15 ;0,39
11/2010;1,45 ;1,58 ;1,00 ;0,37 ;1,98 ;1,16 ;1,84 ;0,81 ;0,36 ;0,75
12/2010;0,69 ;0,38 ;0,72 ;0,67 ;0,21 ;1,27 ;0,63 ;0,92 ;0,59 ;0,22
01/2011;0,79 ;0,98 ;1,27 ;0,41 ;0,96 ;0,49 ;0,76 ;1,08 ;0,37 ;0,62
02/2011;1,00 ;0,96 ;0,49 ;0,28 ;1,23 ;1,03 ;1,20 ;0,67 ;0,39 ;0,73
03/2011;0,62 ;0,61 ;0,71 ;0,43 ;0,60 ;0,84 ;0,65 ;0,62 ;0,44 ;0,42
04/2011;0,45 ;0,50 ;0,95 ;1,06 ;0,24 ;0,56 ;0,29 ;0,78 ;0,75 ;0,58
05/2011;0,43 ;0,01 ;0,51 ;2,94 ;-0,63 ;0,55 ;0,03 ;0,90 ;2,03 ;0,32
06/2011;-0,18 ;-0,13 ;-0,18 ;0,37 ;-0,19 ;-0,22 ;-0,45 ;-0,12 ;1,43 ;0,13
07/2011;-0,12 ;-0,05 ;-0,04 ;0,45 ;-0,13 ;-0,12 ;-0,22 ;-0,13 ;0,59 ;-0,07
08/2011;0,44 ;0,61 ;0,40 ;0,13 ;0,77 ;0,20 ;0,57 ;0,21 ;0,16 ;0,46
09/2011;0,65 ;0,75 ;0,50 ;0,14 ;0,94 ;0,63 ;0,74 ;0,59 ;0,14 ;0,62
10/2011;0,53 ;0,40 ;0,26 ;0,23 ;0,48 ;0,64 ;0,68 ;0,26 ;0,20 ;0,87
11/2011;0,50 ;0,43 ;0,53 ;0,72 ;0,34 ;0,44 ;0,52 ;0,43 ;0,50 ;0,27
12/2011;-0,12 ;-0,16 ;0,79 ;0,11 ;-0,55 ;0,19 ;-0,48 ;0,71 ;0,35 ;-0,58
01/2012;0,25 ;0,30 ;0,81 ;0,89 ;0,01 ;0,08 ;-0,07 ;0,97 ;0,67 ;-0,36
02/2012;-0,06 ;0,07 ;0,24 ;0,30 ;-0,03 ;0,04 ;-0,26 ;0,27 ;0,42 ;-0,05
03/2012;0,43 ;0,56 ;0,60 ;0,51 ;0,55 ;0,27 ;0,42 ;0,48 ;0,37 ;0,31
04/2012;0,85 ;1,02 ;0,52 ;0,75 ;1,25 ;0,70 ;0,97 ;0,55 ;0,83 ;1,32
05/2012;1,02 ;0,91 ;0,52 ;1,88 ;0,91 ;1,01 ;1,17 ;0,49 ;1,30 ;0,99
06/2012;0,66 ;0,69 ;0,11 ;0,73 ;0,89 ;0,73 ;0,74 ;0,17 ;1,31 ;0,86
07/2012;1,34 ;1,52 ;0,22 ;0,67 ;2,13 ;0,96 ;1,81 ;0,25 ;0,85 ;0,98
08/2012;1,43 ;1,29 ;0,44 ;0,26 ;1,77 ;1,59 ;1,99 ;0,33 ;0,32 ;0,47
09/2012;0,97 ;0,88 ;0,54 ;0,22 ;1,11 ;1,05 ;1,25 ;0,49 ;0,21 ;0,76
10/2012;0,02 ;-0,31 ;0,48 ;0,21 ;-0,68 ;0,42 ;-0,20 ;0,58 ;0,24 ;-0,41
11/2012;-0,03 ;0,25 ;0,45 ;0,33 ;0,16 ;-0,28 ;-0,19 ;0,33 ;0,23 ;0,04
12/2012;0,68 ;0,66 ;0,66 ;0,16 ;0,74 ;0,63 ;0,73 ;0,73 ;0,29 ;0,53
01/2013;0,34 ;0,31 ;1,01 ;0,65 ;0,00 ;0,42 ;0,11 ;0,98 ;0,39 ;0,67
02/2013;0,29 ;0,20 ;0,33 ;0,60 ;0,09 ;0,29 ;0,21 ;0,30 ;0,80 ;0,31
03/2013;0,21 ;0,31 ;0,72 ;0,50 ;0,12 ;0,22 ;0,01 ;0,72 ;0,28 ;0,46
04/2013;0,15 ;-0,06 ;0,52 ;0,74 ;-0,39 ;0,18 ;-0,12 ;0,60 ;0,84 ;0,51
05/2013;0,00 ;0,32 ;0,32 ;2,25 ;0,01 ;-0,09 ;-0,30 ;0,33 ;1,24 ;0,30
06/2013;0,75 ;0,76 ;0,35 ;1,15 ;0,85 ;0,63 ;0,68 ;0,39 ;1,96 ;0,62
07/2013;0,26 ;0,14 ;-0,17 ;0,48 ;0,20 ;0,43 ;0,30 ;-0,07 ;0,73 ;0,37
08/2013;0,15 ;0,46 ;0,20 ;0,31 ;0,58 ;0,15 ;0,14 ;0,09 ;0,31 ;0,67
09/2013;1,50 ;1,36 ;0,30 ;0,43 ;1,90 ;1,05 ;2,11 ;0,27 ;0,43 ;1,85
10/2013;0,86 ;0,63 ;0,55 ;0,26 ;0,71 ;1,11 ;1,09 ;0,43 ;0,33 ;0,83
11/2013;0,29 ;0,28 ;0,68 ;0,35 ;0,12 ;0,44 ;0,17 ;0,65 ;0,27 ;0,09
12/2013;0,60 ;0,69 ;0,69 ;0,10 ;0,78 ;0,44 ;0,63 ;0,69 ;0,22 ;0,93
01/2014;0,48 ;0,40 ;0,99 ;0,88 ;0,12 ;0,58 ;0,31 ;0,87 ;0,70 ;0,75
02/2014;0,38 ;0,85 ;0,66 ;0,33 ;1,00 ;0,30 ;0,27 ;0,70 ;0,44 ;0,74
03/2014;1,67 ;1,48 ;0,85 ;0,28 ;1,91 ;1,29 ;2,20 ;0,82 ;0,22 ;0,56
04/2014;0,78 ;0,45 ;0,77 ;0,88 ;0,27 ;1,19 ;0,79 ;0,82 ;0,67 ;-0,14
05/2014;-0,13 ;-0,45 ;0,52 ;2,05 ;-1,21 ;0,13 ;-0,65 ;0,68 ;1,37 ;-0,72
06/2014;-0,74 ;-0,63 ;0,33 ;0,66 ;-1,21 ;-0,67 ;-1,44 ;0,34 ;1,25 ;-0,52
07/2014;-0,61 ;-0,55 ;0,10 ;0,75 ;-1,01 ;-0,56 ;-1,11 ;0,15 ;0,80 ;-0,34
08/2014;-0,27 ;0,06 ;0,12 ;0,08 ;0,04 ;-0,55 ;-0,45 ;0,02 ;0,19 ;-0,09
09/2014;0,20 ;0,02 ;0,49 ;0,15 ;-0,18 ;0,31 ;0,13 ;0,42 ;0,16 ;-0,10
10/2014;0,28 ;0,59 ;0,43 ;0,17 ;0,73 ;0,02 ;0,23 ;0,46 ;0,20 ;0,17
11/2014;0,98 ;1,14 ;0,65 ;0,44 ;1,44 ;0,82 ;1,26 ;0,53 ;0,30 ;0,89
12/2014;0,62 ;0,38 ;0,75 ;0,08 ;0,30 ;0,98 ;0,63 ;0,76 ;0,25 ;0,13
01/2015;0,76 ;0,67 ;1,73 ;0,92 ;0,23 ;0,42 ;0,56 ;1,35 ;0,70 ;0,04
02/2015;0,27 ;0,53 ;0,97 ;0,31 ;0,41 ;0,43 ;-0,09 ;1,14 ;0,50 ;0,13
03/2015;0,98 ;1,21 ;1,41 ;0,62 ;1,24 ;0,83 ;0,92 ;1,42 ;0,36 ;0,90
04/2015;1,17 ;0,92 ;0,61 ;0,46 ;1,11 ;1,27 ;1,41 ;0,75 ;0,65 ;1,54
05/2015;0,41 ;0,40 ;0,72 ;0,95 ;0,19 ;0,52 ;0,30 ;0,68 ;0,45 ;0,71
06/2015;0,67 ;0,68 ;0,82 ;1,84 ;0,43 ;0,57 ;0,41 ;0,83 ;1,87 ;0,54
07/2015;0,69 ;0,58 ;0,53 ;0,55 ;0,61 ;0,75 ;0,73 ;0,60 ;0,66 ;0,45
08/2015;0,28 ;0,40 ;0,22 ;0,59 ;0,44 ;0,34 ;0,20 ;0,24 ;0,80 ;0,38
09/2015;0,95 ;1,42 ;0,42 ;0,22 ;2,02 ;0,61 ;1,30 ;0,32 ;0,22 ;1,49
10/2015;1,89 ;1,76 ;0,76 ;0,36 ;2,38 ;1,88 ;2,63 ;0,64 ;0,27 ;2,23
11/2015;1,52 ;1,19 ;1,00 ;0,34 ;1,41 ;1,64 ;1,93 ;0,90 ;0,40 ;0,99
12/2015;0,49 ;0,44 ;0,88 ;0,10 ;0,33 ;0,81 ;0,39 ;0,92 ;0,12 ;-0,14
01/2016;1,14 ;1,53 ;1,78 ;0,39 ;1,63 ;0,69 ;1,14 ;1,48 ;0,32 ;1,24
02/2016;1,29 ;0,79 ;0,76 ;0,54 ;0,84 ;1,55 ;1,45 ;1,19 ;0,52 ;0,36
03/2016;0,51 ;0,43 ;0,50 ;0,64 ;0,37 ;0,58 ;0,44 ;0,58 ;0,79 ;-0,01
04/2016;0,33 ;0,36 ;0,49 ;0,55 ;0,29 ;0,40 ;0,29 ;0,39 ;0,41 ;-0,07
05/2016;0,82 ;1,13 ;0,64 ;0,08 ;1,49 ;0,60 ;0,98 ;0,65 ;0,19 ;0,71
06/2016;1,69 ;1,63 ;0,26 ;1,93 ;2,10 ;1,42 ;2,21 ;0,33 ;1,52 ;0,71
07/2016;0,18 ;-0,39 ;0,37 ;0,49 ;-0,81 ;1,06 ;-0,01 ;0,29 ;1,09 ;-0,30
08/2016;0,15 ;0,43 ;0,32 ;0,29 ;0,50 ;-0,27 ;0,04 ;0,40 ;0,26 ;0,34
09/2016;0,20 ;0,03 ;0,07 ;0,33 ;-0,03 ;0,36 ;0,18 ;0,16 ;0,37 ;0,60
10/2016;0,16 ;0,13 ;0,34 ;0,21 ;0,04 ;0,12 ;0,15 ;0,17 ;0,17 ;0,22
11/2016;-0,03 ;0,05 ;0,17 ;0,16 ;-0,01 ;0,06 ;-0,16 ;0,26 ;0,17 ;0,75
12/2016;0,54 ;0,83 ;0,33 ;0,34 ;1,10 ;0,20 ;0,69 ;0,20 ;0,36 ;1,98
01/2017;0,64 ;0,43 ;0,69 ;0,41 ;0,34 ;0,88 ;0,70 ;0,64 ;0,29 ;1,25
02/2017;0,08 ;0,06 ;0,31 ;0,65 ;-0,12 ;0,14 ;-0,09 ;0,39 ;0,53 ;0,08
03/2017;0,01 ;-0,38 ;0,47 ;0,16 ;-0,78 ;0,05 ;-0,17 ;0,38 ;0,36 ;-0,30
04/2017;-1,10 ;-1,24 ;0,12 ;-0,02 ;-1,96 ;-0,76 ;-1,77 ;0,33 ;-0,08 ;-1,19
05/2017;-0,93 ;-0,51 ;0,52 ;0,63 ;-1,10 ;-1,10 ;-1,56 ;0,29 ;0,13 ;-1,24
06/2017;-0,67 ;-0,96 ;-0,32 ;0,93 ;-1,53 ;-0,62 ;-1,22 ;-0,08 ;1,36 ;-1,06
07/2017;-0,72 ;-0,30 ;0,38 ;0,30 ;-0,67 ;-0,84 ;-1,16 ;0,04 ;0,22 ;-0,41
08/2017;0,10 ;0,24 ;0,13 ;0,36 ;0,26 ;-0,17 ;-0,05 ;0,33 ;0,40 ;0,96
09/2017;0,47 ;0,62 ;-0,02 ;0,06 ;0,97 ;0,39 ;0,74 ;-0,09 ;0,14 ;1,05
10/2017;0,20 ;0,10 ;0,33 ;0,31 ;-0,03 ;0,49 ;0,16 ;0,28 ;0,19 ;-0,16
11/2017;0,52 ;0,80 ;0,36 ;0,31 ;1,06 ;0,24 ;0,66 ;0,28 ;0,28 ;1,14
12/2017;0,89 ;0,74 ;0,21 ;0,07 ;1,07 ;0,90 ;1,24 ;0,30 ;0,14 ;1,15
01/2018;0,76 ;0,58 ;0,69 ;0,31 ;0,58 ;0,79 ;0,91 ;0,56 ;0,28 ;0,94
02/2018;0,07 ;0,15 ;0,17 ;0,13 ;0,15 ;0,23 ;-0,02 ;0,28 ;0,14 ;0,01
03/2018;0,64 ;0,56 ;0,17 ;0,24 ;0,77 ;0,45 ;0,89 ;0,14 ;0,23 ;-0,09
04/2018;0,57 ;0,93 ;0,34 ;0,29 ;1,26 ;0,56 ;0,71 ;0,31 ;0,28 ;0,96
05/2018;1,38 ;1,64 ;0,41 ;0,23 ;2,35 ;1,11 ;1,97 ;0,26 ;0,30 ;2,65
06/2018;1,87 ;1,48 ;1,19 ;0,97 ;1,67 ;1,86 ;2,33 ;1,09 ;0,76 ;1,83
07/2018;0,51 ;0,44 ;0,17 ;0,61 ;0,52 ;0,93 ;0,50 ;0,44 ;0,72 ;0,93
08/2018;0,70 ;0,68 ;0,07 ;0,15 ;0,99 ;0,51 ;1,00 ;0,05 ;0,30 ;0,69
09/2018;1,52 ;1,79 ;0,45 ;0,23 ;2,54 ;1,20 ;2,19 ;0,28 ;0,17 ;2,69
10/2018;0,89 ;0,26 ;0,48 ;0,35 ;0,17 ;1,43 ;1,10 ;0,51 ;0,33 ;0,59
11/2018;-0,49 ;-1,14 ;-0,17 ;0,13 ;-1,70 ;-0,16 ;-0,81 ;0,09 ;0,26 ;-1,47
12/2018;-1,08 ;-0,45 ;0,29 ;0,13 ;-0,82 ;-1,23 ;-1,67 ;0,04 ;0,13 ;-0,85
01/2019;0,01 ;0,07 ;0,57 ;0,49 ;-0,19 ;-0,26 ;-0,26 ;0,58 ;0,40 ;0,04
02/2019;0,88 ;1,25 ;0,35 ;0,09 ;1,79 ;0,40 ;1,22 ;0,26 ;0,19 ;0,95
03/2019;1,26 ;1,07 ;0,65 ;0,31 ;1,35 ;1,40 ;1,67 ;0,58 ;0,19 ;0,80
04/2019;0,92 ;0,90 ;0,63 ;0,38 ;1,09 ;1,00 ;1,07 ;0,69 ;0,49 ;1,60
05/2019;0,45 ;0,40 ;0,22 ;0,03 ;0,52 ;0,70 ;0,54 ;0,35 ;0,09 ;1,46
06/2019;0,80 ;0,63 ;-0,02 ;0,88 ;0,83 ;0,49 ;1,16 ;-0,07 ;0,44 ;0,38
07/2019;0,40 ;-0,01 ;0,31 ;0,58 ;-0,22 ;0,61 ;0,40 ;0,16 ;0,91 ;0,39
08/2019;-0,67 ;-0,51 ;0,17 ;0,42 ;-0,90 ;-0,47 ;-1,14 ;0,23 ;0,34 ;-1,49
09/2019;-0,01 ;0,50 ;0,00 ;0,46 ;0,68 ;-0,29 ;-0,09 ;-0,04 ;0,60 ;0,58
10/2019;0,68 ;0,55 ;-0,09 ;0,18 ;0,84 ;0,77 ;1,02 ;-0,05 ;0,12 ;0,62
11/2019;0,30 ;0,85 ;0,49 ;0,04 ;1,11 ;0,19 ;0,36 ;0,20 ;0,15 ;-0,01
12/2019;2,09 ;1,74 ;0,77 ;0,21 ;2,34 ;1,69 ;2,84 ;0,84 ;0,14 ;1,63
01/2020;0,48 ;0,09 ;0,59 ;0,38 ;-0,13 ;1,07 ;0,50 ;0,52 ;0,26 ;0,14
02/2020;-0,04 ;0,01 ;-0,01 ;0,33 ;-0,03 ;0,01 ;-0,19 ;0,21 ;0,35 ;-0,70
03/2020;1,24 ;1,64 ;0,34 ;0,26 ;2,33 ;0,64 ;1,76 ;0,12 ;0,38 ;1,74
04/2020;0,80 ;0,05 ;-0,18 ;0,22 ;0,11 ;1,13 ;1,12 ;0,13 ;0,18 ;-0,45
05/2020;0,28 ;1,07 ;-0,54 ;0,20 ;1,77 ;0,07 ;0,59 ;-0,60 ;0,21 ;1,85
06/2020;1,56 ;-;-;-;-;1,55 ;2,25 ;0,04 ;0,32 ;-
Fonte;FGV;FGV;FGV;FGV;FGV;FGV;FGV;FGV;FGV;FGV
